English Value,Language,Localized Value,String Type
Search,en,Search,Button
Search all,en,Search all,Label
Search general ledger account required,en,Search general ledger account required,Accessible Label
Search goods receipt number,en,Search goods receipt number,Hint Text
Search material,en,Search material,Hint Text
Search material number,en,Search material number,Hint Text
Search material number required,en,Search material number required,Accessible Label
Search purchase order number,en,Search purchase order number,Hint Text
Search requisition number,en,Search requisition number,Hint Text
Search results,en,Search results,Label
Search vendor,en,Search vendor,Hint Text
Search vendor invoice number,en,Search vendor invoice number,Hint Text
Search vendor number,en,Search vendor number,Hint Text
Search vendor payment number,en,Search vendor payment number,Hint Text
Searching,en,Searching,Label
Select,en,Select,Label
Select account group,en,Select account group,Hint Text
Select account group required,en,Select account group required,Accessible Label
Select chart of accounts,en,Select chart of accounts,Label
Select company code,en,Select company code,Hint Text
Select company code required,en,Select company code required,Accessible Label
Select country,en,Select country,Hint Text
Select country required,en,Select country required,Accessible Label
Select created from date required,en,Select created from date required,Accessible Label
Select created to date required,en,Select created to date required,Accessible Label
Select currency,en,Select currency,Hint Text
Select currency required,en,Select currency required,Accessible Label
Select date from,en,Select date from,Hint Text
Select date to,en,Select date to,Hint Text
Select document type,en,Select document type,Accessible Label
Select document type required,en,Select document type required,Accessible Label
Select due from date,en,Select due from date,Hint Text
Select due from date required,en,Select due from date required,Accessible Label
Select due to date,en,Select due to date,Hint Text
Select due to date required,en,Select due to date required,Accessible Label
Select from date,en,Select from date,Hint Text
Select general ledger account,en,Select general ledger account,Hint Text
Select location,en,Select location,Hint Text
Select location required,en,Select location required,Accessible Label
Select material group,en,Select material group,Hint Text
Select payment method,en,Select payment method,Hint Text
Select payment method required,en,Select payment method required,Accessible Label
Select payment terms,en,Select payment terms,Hint Text
Select posted from,en,Select posted from,Hint Text
Select posted to,en,Select posted to,Hint Text
Select posting date,en,Select posting date,Hint Text
Select purchase order item,en,Select purchase order item,Hint Text
Select purchase order item required,en,Select purchase order item required,Accessible Label
Select purchasing group,en,Select purchasing group,Hint Text
Select purchasing organization,en,Select purchasing organization,Hint Text
Select purchasing organization required,en,Select purchasing organization required,Accessible Label
Select recent goods receipt,en,Select recent goods receipt,Accessible Label
Select recent purchase order,en,Select recent purchase order,Hint Text
Select recent requisition,en,Select recent requisition,Hint Text
Select recent vendor,en,Select recent vendor,Hint Text
Select recent vendor invoices,en,Select recent vendor invoices,Accessible Label
Select recent vendor payments,en,Select recent vendor payments,Hint Text
Select requested from date required,en,Select requested from date required,Accessible Label
Select requested to date required,en,Select requested to date required,Accessible Label
Select reversal code,en,Select reversal code,Hint Text
Select row,en,Select row,Accessible Label
Select state/province,en,Select state/province,Hint Text
Select storage location,en,Select storage location,Hint Text
Select storage location required,en,Select storage location required,Accessible Label
Select to date,en,Select to date,Hint Text
Select type,en,Select type,Hint Text
Select unit,en,Select unit,Label
Sorted ascending,en,Sorted ascending,Accessible Label
Sorted descending,en,Sorted descending,Accessible Label
State/Province,en,State/Province,Label
Status,en,Status,Label
Storage location,en,Storage location,Label
Street,en,Street,Label
Tab selected,en,Tab selected,Accessible Label
The following information is required before saving,en,The following information is required before saving,Notification
The following information is required before searching,en,The following information is required before searching,Notification
The maximum number of search results were found based upon your criteria and some records may be missing. Please try changing your search criteria.,en,The maximum number of search results were found based upon your criteria and some records may be missing. Please try changing your search criteria.,Notification
Total,en,Total,Label
Total price,en,Total price,Label
Total price required,en,Total price required,Accessible Label
Type,en,Type,Label
Unexpected error occurred,en,Unexpected error occurred,Notification
Unit,en,Unit,Label
Unit price,en,Unit price,Label
Unselect all company codes,en,Unselect all company codes,Label
Unselect all emails,en,Unselect all emails,Label
Unselect all phones,en,Unselect all phones,Label
Unselect all purchasing organizations,en,Unselect all purchasing organizations,Label
Unselect row,en,Unselect row,Label
Vendor,en,Vendor,Label
Vendor advanced search,en,Vendor advanced search,Accessible Label
Vendor invoice,en,Vendor invoice,Label
Vendor invoice not found,en,Vendor invoice not found,Notification
Vendor invoice reversal,en,Vendor invoice reversal,Label
Vendor invoice search,en,Vendor invoice search,Label
Vendor invoice successfully created,en,Vendor invoice successfully created,Notification
Vendor invoice successfully updated,en,Vendor invoice successfully updated,Notification
Vendor invoice was successfully approved,en,Vendor invoice was successfully approved,Notification
Vendor invoice was successfully reversed,en,Vendor invoice was successfully reversed,Notification
vendor invoices found based upon your search criteria,en,vendor invoices found based upon your search criteria,Notification
Vendor invoices recently searched,en,Vendor invoices recently searched,Accessible Label
Vendor name,en,Vendor name,Label
Vendor not found,en,Vendor not found,Notification
Vendor payment,en,Vendor payment,Label
Vendor payment not found,en,Vendor payment not found,Notification
Vendor payment search,en,Vendor payment search,Label
Vendor Payments,en,Vendor Payments,Menu Item
Vendor payments recently searched,en,Vendor payments recently searched,Accessible Label
Vendor requisitions,en,Vendor requisitions,Label
Vendor search,en,Vendor search,Label
Vendor successfully created,en,Vendor successfully created,Notification
Vendor successfully updated,en,Vendor successfully updated,Notification
Vendors,en,Vendors,Menu Item
vendors found based upon your search criteria,en,vendors found based upon your search criteria,Notification
View,en,View,Button
View goods receipt item details,en,View goods receipt item details,Label
View purchase order item details,en,View purchase order item details,Label
View requisition item details,en,View requisition item details,Label
View vendor company code details,en,View vendor company code details,Label
View vendor email details,en,View vendor email details,Label
View vendor invoice item details,en,View vendor invoice item details,Label
View vendor payment item details,en,View vendor payment item details,Label
View vendor phone details,en,View vendor phone details,Label
View vendor purchasing organization details,en,View vendor purchasing organization details,Label
You are receiving less than the expected quantity,en,You are receiving less than the expected quantity,Notification
You are receiving more than the expected quantity,en,You are receiving more than the expected quantity,Notification
